code;name;;en_name;de_desc;de_link;en_desc;en_link;de_syn;en_syn
198508;Aug.85;;Aug.85;;;;;;
198509;Sep.85;;Sep.85;;;;;;
198510;Okt.85;;Oct. 1985;;;;;;
198511;Nov.85;;Nov.85;;;;;;
198512;Dez.85;;Dec. 1985;;;;;;
198601;Jän.86;;Jan. 1986;;;;;;
198602;Feb.86;;Feb.86;;;;;;
198603;Mär.86;;Mar. 1986;;;;;;
198604;Apr.86;;Apr.86;;;;;;
198605;Mai.86;;May 1986;;;;;;
198606;Jun.86;;June 1986;;;;;;
198607;Jul.86;;July 1986;;;;;;
198608;Aug.86;;Aug.86;;;;;;
198609;Sep.86;;Sep.86;;;;;;
198610;Okt.86;;Oct. 1986;;;;;;
198611;Nov.86;;Nov.86;;;;;;
198612;Dez.86;;Dec. 1986;;;;;;
198701;Jän.87;;Jan. 1987;;;;;;
198702;Feb.87;;Feb.87;;;;;;
198703;Mär.87;;Mar. 1987;;;;;;
198704;Apr.87;;Apr.87;;;;;;
198705;Mai.87;;May 1987;;;;;;
198706;Jun.87;;June 1987;;;;;;
198707;Jul.87;;July 1987;;;;;;
198708;Aug.87;;Aug.87;;;;;;
198709;Sep.87;;Sep.87;;;;;;
198710;Okt.87;;Oct. 1987;;;;;;
198711;Nov.87;;Nov.87;;;;;;
198712;Dez.87;;Dec. 1987;;;;;;
198801;Jän.88;;Jan. 1988;;;;;;
198802;Feb.88;;Feb.88;;;;;;
198803;Mär.88;;Mar. 1988;;;;;;
198804;Apr.88;;Apr.88;;;;;;
198805;Mai.88;;May 1988;;;;;;
198806;Jun.88;;June 1988;;;;;;
198807;Jul.88;;July 1988;;;;;;
198808;Aug.88;;Aug.88;;;;;;
198809;Sep.88;;Sep.88;;;;;;
198810;Okt.88;;Oct. 1988;;;;;;
198811;Nov.88;;Nov.88;;;;;;
198812;Dez.88;;Dec. 1988;;;;;;
198901;Jän.89;;Jan. 1989;;;;;;
198902;Feb.89;;Feb.89;;;;;;
198903;Mär.89;;Mar. 1989;;;;;;
198904;Apr.89;;Apr.89;;;;;;
198905;Mai.89;;May 1989;;;;;;
198906;Jun.89;;June 1989;;;;;;
198907;Jul.89;;July 1989;;;;;;
198908;Aug.89;;Aug.89;;;;;;
198909;Sep.89;;Sep.89;;;;;;
198910;Okt.89;;Oct. 1989;;;;;;
198911;Nov.89;;Nov.89;;;;;;
198912;Dez.89;;Dec. 1989;;;;;;
199001;Jän.90;;Jan. 1990;;;;;;
